geneid	funcatid	gotermid	pubmedid
NCU00565	70.16	 GO:0005739	PMID:15486203
NCU00567	01.01.03.05.01	 GO:0006526	PMID:15486203
NCU00567	70.16	 GO:0005739	PMID:15486203
NCU00578	14.01	 GO:0006457	PMID:15486203
NCU00579	01.06	 GO:0006629	PMID:15486203
NCU00580	01.06	 GO:0006629	PMID:15486203
NCU00591	01.01.11.04.02	 GO:0006552	PMID:15486203
NCU00591	16.21.15	 GO:0009374	PMID:15486203
NCU00593	10.03.01	 GO:0000074	PMID:15486203
NCU00593	30.01	 GO:0007242	PMID:15486203
NCU00596	01.06.05	 GO:0006633	PMID:15486203
NCU00596	16.13.03	 GO:0005504	PMID:15486203
NCU00600	16.19.05	 GO:0005525	PMID:15486203
NCU00600	20.09.16	 GO:0046903	PMID:15486203
NCU00600	30.01.05.05	 GO:0007186	PMID:15486203
NCU00602	01.07.01	 GO:0051188	PMID:15486203
NCU00606	01.06.05	 GO:0006633	PMID:15486203
NCU00608	01.06	 GO:0006629	PMID:15486203
NCU00609	01.05	 GO:0005975	PMID:15486203
NCU00609	14.07.02	 GO:0006486	PMID:15486203
NCU00617	34.11.03.07	 GO:0019236	PMID:15486203
NCU00618	70.03	 GO:0005737	PMID:15486203
NCU00621	18.02.01.01	 GO:0043085	PMID:15486203
NCU00621	40.01	 GO:0016049	PMID:15486203
NCU00624	20.09.07	 GO:0016192	PMID:15486203
NCU00631	10.01.05.01	 GO:0006281	PMID:15486203
NCU00631	70.10	 GO:0005634	PMID:15486203
NCU00632	01.03.01	 GO:0006163	PMID:15486203
NCU00634	70.03	 GO:0005737	PMID:15486203
NCU00635	11.02.03.04	 GO:0045449	PMID:15486203
NCU00635	16.01	 GO:0005515	PMID:15486203
NCU00635	16.03.01	 GO:0003677	PMID:15486203
NCU00636	02.13	 GO:0045333	PMID:15486203
NCU00636	02.45.15	 GO:0006091	PMID:15486203
NCU00636	20.03.22	 GO:0042626	PMID:15486203
NCU00636	34.01.01.03	 GO:0030641	PMID:15486203
NCU00636	70.16	 GO:0005739	PMID:15486203
NCU00643	01.05	 GO:0005975	PMID:15486203
NCU00643	70.03	 GO:0005737	PMID:15486203
NCU00649	01.07.01	 GO:0051188	PMID:15486203
NCU00651	14.13.01.01	 GO:0043161	PMID:15486203
NCU00651	70.03	 GO:0005737	PMID:15486203
NCU00651	70.10	 GO:0005634	PMID:15486203
NCU00655	01.06	 GO:0006629	PMID:15486203
NCU00658	20.09.14	 GO:0030705	PMID:15486203
NCU00658	42.04	 GO:0007010	PMID:15486203
NCU00660	01.02	 GO:0006807	PMID:15486203
NCU00660	12	 GO:0006412	PMID:15486203
NCU00664	11.04.03.01	 GO:0008380	PMID:15486203
NCU00668	18.02.03	 GO:0005085	PMID:15486203
NCU00668	30.01.05.01.03	 GO:0000165	PMID:15486203
NCU00668	40.01.03	 GO:0051211	PMID:15486203
NCU00668	42.01	 GO:0007047	PMID:15486203
NCU00669	01.05	 GO:0005975	PMID:15486203
NCU00669	14.07.02	 GO:0006486	PMID:15486203
