geneid	ecnumber
NCU07849	EC:2.7.4.7
NCU07849	EC:2.1.1.107
NCU07849	EC:3.5.99.2
NCU06261	EC:2.4.2.9
NCU06652	EC:1.1.1.190
NCU06652	EC:1.1.1.1
NCU06652	EC:1.1.1.284
NCU06712	EC:3.4.25.1
NCU06914	EC:6.1.1.21
NCU09710	EC:1.8.3.5
NCU02193	EC:4.1.1.72
NCU02193	EC:4.1.1.80
NCU02193	EC:4.1.1.43
NCU02193	EC:4.1.1.1
NCU02542	EC:2.7.1.4
NCU02542	EC:2.7.1.1
NCU02542	EC:2.7.1.7
NCU03267	EC:2.7.1.23
NCU02815	EC:2.7.13.3
NCU06351	EC:3.1.3.8
NCU07872	EC:2.7.12.1
NCU09290	EC:3.4.25.1
NCU06842	EC:2.1.1.72
NCU03347	EC:2.6.1.7
NCU03347	EC:3.5.1.9
NCU04149	EC:3.6.5.-
NCU01086	EC:1.14.13.79
NCU01086	EC:1.14.13.12
NCU06654	EC:4.2.99.18
NCU01188	EC:6.3.2.19
NCU08189	EC:3.2.1.8
NCU00292	EC:3.1.1.13
NCU08380	EC:3.1.3.16
NCU00905	EC:3.5.1.60
NCU02005	EC:1.8.4.8
NCU03991	EC:2.3.1.26
NCU17100	EC:3.4.21.105
NCU04185	EC:2.7.11.1
NCU06931	EC:1.8.3.1
NCU03254	EC:3.2.1.4
NCU04899	EC:1.1.1.37
NCU06252	EC:3.1.3.16
NCU06252	EC:3.1.3.48
NCU06194	EC:2.3.1.51
NCU06194	EC:2.3.1.23
NCU09102	EC:6.3.5.7
NCU09102	EC:6.3.5.-
NCU00994	EC:3.4.23.22
NCU02686	EC:3.1.11.6
NCU06013	EC:2.3.1.39
NCU06013	EC:4.2.1.61
NCU01177	EC:1.1.1.133
NCU06433	EC:5.2.1.8
NCU09025	EC:6.3.5.7
NCU09025	EC:6.3.5.-
NCU08153	EC:3.1.3.1
NCU02746	EC:3.6.3.14
NCU05882	EC:3.2.1.4
NCU05421	EC:2.7.7.63
NCU03526	EC:6.3.2.19
NCU01266	EC:3.1.4.11
NCU03770	EC:3.2.1.101
NCU03838	EC:2.7.7.6
NCU10292	EC:2.5.1.61
NCU03197	EC:2.7.11.1
NCU01747	EC:3.1.4.46
NCU07119	EC:6.1.1.13
NCU07119	EC:2.7.7.58
NCU07681	EC:3.6.3.14
NCU03704	EC:3.4.19.12
NCU01143	EC:3.6.4.4
NCU01143	EC:3.6.4.9
NCU01143	EC:3.6.5.5
NCU01143	EC:3.6.1.15
NCU01143	EC:3.6.5.-
NCU09821	EC:1.1.1.47
NCU09821	EC:1.17.99.5
NCU09897	EC:3.6.3.14
NCU03108	EC:3.4.17.21
NCU08378	EC:3.1.2.15
NCU06783	EC:2.3.3.8
NCU01804	EC:3.6.1.52
NCU01838	EC:3.5.5.7
NCU01838	EC:4.2.1.66
NCU04938	EC:1.1.99.1
NCU07987	EC:4.4.1.8
NCU06482	EC:1.2.4.1
NCU06482	EC:1.2.1.-
NCU08997	EC:3.1.3.1
NCU08997	EC:3.1.3.39
NCU02097	EC:1.1.1.138
NCU02564	EC:2.5.1.47
NCU05982	EC:2.1.1.114
NCU05982	EC:2.1.1.64
NCU05982	EC:2.1.1.-
NCU17088	EC:3.2.1.59
NCU00446	EC:6.2.1.16
NCU10004	EC:2.7.11.1
NCU06430	EC:2.4.2.38
NCU06486	EC:2.7.11.1
NCU00129	EC:2.7.7.58
NCU06465	EC:1.14.13.72
NCU06465	EC:1.14.-.-
NCU00168	EC:2.3.1.51
NCU00293	EC:3.6.1.22
