funcatid	gotermid
36.25.01.13	 GO:0007608
36.25.01.15	 GO:0019233
36.25.03	 GO:0050877
36.25.03.03	 GO:0050905
36.25.03.03.03	 GO:0050885
36.25.03.04.01	 GO:0007611
36.25.09	 GO:0006936
36.25.09.01	 GO:0006939
36.25.09.03	 GO:0006941
36.25.09.05	 GO:0006937
36.25.16	 GO:0006955
36.25.16.01	 GO:0045087
36.25.16.01.01	 GO:0006956
36.25.16.01.03	 GO:0006909
36.25.16.01.05	 GO:0001909
36.25.16.01.07	 GO:0006953
36.25.16.03	 GO:0016064
36.25.16.03.01	 GO:0019724
36.25.16.03.05	 GO:0019882
36.25.16.07	 GO:0006954
36.25.16.09	 GO:0007596
40.01	 GO:0016049
40.01.01	 GO:0051210
40.01.03	 GO:0051211
40.01.05	 GO:0008361
40.01.05.01	 GO:0001560
40.01.05.02	 GO:0001559
43	 GO:0030154
40.02.03.01	 GO:0005125
40.02.03.03	 GO:0008009
40.02.03.05	 GO:0008083
40.10	 GO:0008219
40.10.02	 GO:0006915
40.10.02.01	 GO:0006916
40.10.02.02	 GO:0008632
40.10.02.02.01	 GO:0008637
40.10.02.02.02	 GO:0006919
40.10.02.02.03	 GO:0006921
40.10.02.02.04	 GO:0008633
40.10.02.02.05	 GO:0008634
40.10.02.03	 GO:0006917
40.10.02.03.01	 GO:0008624
40.10.02.03.02	 GO:0008629
40.10.90	 GO:0016244
40.20	 GO:0007569
41	 GO:0007275
41.01.03	 GO:0007389
41.01.03.01	 GO:0030582
41.01.03.03	 GO:0043581
41.03.01	 GO:0048229
41.03.01.01	 GO:0009555
41.03.01.02	 GO:0009553
41.03.03	 GO:0009793
41.03.04	 GO:0009960
41.03.05	 GO:0009845
41.03.07	 GO:0009908
41.03.08	 GO:0010154
41.03.10	 GO:0010149
41.05.01	 GO:0007338
41.05.02	 GO:0007566
41.05.04.01	 GO:0009792
41.05.04.01.03	 GO:0001824
41.05.04.01.03.01	 GO:0001829
41.05.04.01.03.03	 GO:0001826
41.05.04.02	 GO:0007369
41.05.13	 GO:0048699
41.05.15	 GO:0007519
41.05.17	 GO:0001503
41.05.19	 GO:0009798
41.05.19.05	 GO:0009948
41.05.19.07	 GO:0009950
41.05.19.11	 GO:0007379
41.05.21	 GO:0048736
41.05.23	 GO:0007548
41.05.25	 GO:0007276
42	 GO:0016043
42.01	 GO:0007047
42.02	 GO:0007009
42.03	 GO:0007028
42.04	 GO:0007010
42.04.03	 GO:0030036
42.04.05	 GO:0000226
42.04.07	 GO:0045104
42.05	 GO:0051297
42.06	 GO:0007043
42.06.03	 GO:0007044
42.06.04	 GO:0007043
42.07	 GO:0007029
42.08	 GO:0007030
42.10	 GO:0006997
42.10.03	 GO:0051276
42.10.04	 GO:0051383
42.10.05	 GO:0006998
42.10.06	 GO:0043578
42.10.07	 GO:0007000
42.10.09	 GO:0035063
42.16	 GO:0007005
42.19	 GO:0007031
42.22	 GO:0007032
42.25	 GO:0007033
42.26	 GO:0009657
42.26.03	 GO:0009658
42.26.05	 GO:0009660
42.26.07	 GO:0009661
42.26.09	 GO:0043579
42.26.11	 GO:0009662
42.26.13	 GO:0009659
42.27.01	 GO:0030198
42.27.03	 GO:0019898
42.28	 GO:0043580
42.29	 GO:0007117
42.32	 GO:0009296
42.33	 GO:0009297
42.34	 GO:0043163
42.34.01	 GO:0043165
42.34.03	 GO:0045231
42.34.05	 GO:0045232
42.34.07	 GO:0009274
42.34.09	 GO:0043593
42.37	 GO:0043590
43.01.02.01	 GO:0043581
43.01.02.02	 GO:0043582
43.01.02.03	 GO:0043158
43.01.02.05.01	 GO:0030436
43.01.02.07	 GO:0009847
43.01.07	 GO:0042710
43.01.03.06	 GO:0030448
43.01.03.07	 GO:0048315
43.02.05	 GO:0009913
43.02.05.01	 GO:0010052
43.02.05.02	 GO:0010026
43.02.17	 GO:0048229
43.02.17.01	 GO:0009555
43.02.17.01.01	 GO:0009564
43.02.17.02	 GO:0009553
43.02.17.02.01	 GO:0009560
