geneid	pubmedid	annotationmethod	annotationsource
NCU00272	22589747	Manual	Broad_CAP
NCU00274	15007097	Manual	Broad_CAP
NCU00274	2463486	Manual	Broad_CAP
NCU00274	6216404	Manual	Broad_CAP
NCU00274	21965514	Manual	Broad_CAP
NCU00274	22395065	Manual	Broad_CAP
NCU00275	20675579	Manual	Broad_CAP
NCU00276	16287898	Manual	Broad_CAP
NCU00276	20675579	Manual	Broad_CAP
NCU00276	22626843	Manual	Broad_CAP
NCU00276	22813893	Manual	Broad_CAP
NCU00277	22955885	Manual	Broad_CAP
NCU00281	22626843	Manual	Broad_CAP
NCU00282	22152473	Manual	Broad_CAP
NCU00282	23125351	Manual	Broad_CAP
NCU00283	22152473	Manual	Broad_CAP
NCU00285	15007097	Manual	Broad_CAP
NCU00285	16801547	Manual	Broad_CAP
NCU00285	22152473	Manual	Broad_CAP
NCU00285	22345350	Manual	Broad_CAP
NCU00285	22462823	Manual	Broad_CAP
NCU00285	23766336	Manual	Broad_CAP
NCU00287	22961396	Manual	Broad_CAP
NCU00289	15007097	Manual	Broad_CAP
NCU00289	16801547	Manual	Broad_CAP
NCU00289	21081763	Manual	Broad_CAP
NCU00289	22345350	Manual	Broad_CAP
NCU00289	22462823	Manual	Broad_CAP
NCU00289	22474347	Manual	Broad_CAP
NCU00290	22462823	Manual	Broad_CAP
NCU00290	22590528	Manual	Broad_CAP
NCU00290	23733042	Manual	Broad_CAP
NCU00291	19696111	Manual	Broad_CAP
NCU00291	22469835	Manual	Broad_CAP
NCU00291	23589521	Manual	Broad_CAP
NCU00292	22345350	Manual	Broad_CAP
NCU00292	22469835	Manual	Broad_CAP
NCU00292	22474347	Manual	Broad_CAP
NCU00292	22532664	Manual	Broad_CAP
NCU00292	23766336	Manual	Broad_CAP
NCU00293	19696111	Manual	Broad_CAP
NCU00293	22152473	Manual	Broad_CAP
NCU00293	23589521	Manual	Broad_CAP
NCU00294	20018766	Manual	Broad_CAP
NCU00294	19696111	Manual	Broad_CAP
NCU00294	21079689	Manual	Broad_CAP
NCU00294	23125351	Manual	Broad_CAP
NCU00294	23417067	Manual	Broad_CAP
NCU00294	23589521	Manual	Broad_CAP
NCU00294	23733042	Manual	Broad_CAP
NCU00294	24037267	Manual	Broad_CAP
NCU00295	19520721	Manual	Broad_CAP
NCU00296	23733042	Manual	Broad_CAP
NCU00299	21980519	Manual	Broad_CAP
NCU00299	22345350	Manual	Broad_CAP
NCU00299	22626843	Manual	Broad_CAP
NCU00299	23733042	Manual	Broad_CAP
NCU00300	15007097	Manual	Broad_CAP
NCU00301	22152473	Manual	Broad_CAP
NCU00302	18676954	Manual	Broad_CAP
NCU00302	23935467	Manual	Broad_CAP
NCU00303	22152473	Manual	Broad_CAP
NCU00303	24037267	Manual	Broad_CAP
NCU00304	20018766	Manual	Broad_CAP
NCU00304	22152473	Manual	Broad_CAP
NCU00304	22345350	Manual	Broad_CAP
NCU00304	22462823	Manual	Broad_CAP
NCU00304	22474347	Manual	Broad_CAP
NCU00304	22590528	Manual	Broad_CAP
NCU00305	22345350	Manual	Broad_CAP
NCU00305	22590528	Manual	Broad_CAP
NCU00306	22445960	Manual	Broad_CAP
NCU00306	22462823	Manual	Broad_CAP
NCU00306	22469835	Manual	Broad_CAP
NCU00309	20018766	Manual	Broad_CAP
NCU00309	22445960	Manual	Broad_CAP
NCU00309	22462823	Manual	Broad_CAP
NCU00309	24037267	Manual	Broad_CAP
NCU00310	22152473	Manual	Broad_CAP
NCU00311	19696111	Manual	Broad_CAP
NCU00311	22813893	Manual	Broad_CAP
NCU00314	19520721	Manual	Broad_CAP
NCU00314	20018766	Manual	Broad_CAP
NCU00315	12180913	Manual	Broad_CAP
NCU00315	20018766	Manual	Broad_CAP
NCU00315	19696111	Manual	Broad_CAP
NCU00315	21980519	Manual	Broad_CAP
NCU00315	22152473	Manual	Broad_CAP
NCU00315	22462823	Manual	Broad_CAP
NCU00315	23589521	Manual	Broad_CAP
NCU00315	23733042	Manual	Broad_CAP
NCU00315	24037267	Manual	Broad_CAP
NCU00316	22152473	Manual	Broad_CAP
NCU00317	22001287	Manual	Broad_CAP
NCU00318	23733042	Manual	Broad_CAP
NCU00320	22001287	Manual	Broad_CAP
NCU00321	22462823	Manual	Broad_CAP
NCU00322	19696111	Manual	Broad_CAP
NCU00322	22462823	Manual	Broad_CAP
