geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00148	NCU00148.1	NCU00148.2	NCU00148.3	NCU00148.4	NCU00148.5
NCU00149	NCU00149.1	NCU00149.2	NCU00149.3	NCU00149.4	NCU00149.5
NCU00150	NCU00150.1	NCU00150.2	NCU00150.3	NCU00150.4	NCU00150.5
NCU00151	NCU00151.1	NCU00151.2	NCU00151.3	NCU00151.4	NCU00151.5
NCU00152	NCU00152.1	NCU00152.2	NCU00152.3	NCU00152.4	NCU00152.5
NCU00153	NCU00153.1	NCU00153.2	NCU00153.3	NCU00153.4	NCU00153.5
NCU00154	NCU00154.1	NCU00154.2	NCU00154.3	NCU00154.4	NCU00154.5
NCU00155	NCU00155.1	NCU00155.2	NCU00155.3	NCU00155.4	NCU00155.5
NCU00157	NCU00157.1	NCU00157.2	NCU00157.3	NCU00157.4	NCU00157.5
NCU00158	NCU00158.1	NCU00158.2	NCU00158.3	NCU00158.4	NCU00158.5
NCU00159	NCU00159.1	NCU00159.2	NCU00159.3	NCU00159.4	NCU00159.5
NCU00160	NCU00160.1	NCU00160.2	NCU00160.3	NCU00160.4	NCU00160.5
NCU00161	NCU00161.1	NCU00161.2	NCU00161.3	NCU00161.4	NCU00161.5
NCU00162	NCU00162.1	NCU00162.2	NCU00162.3	NCU00162.4	NCU00162.5
NCU00163	NCU00163.1	NCU00163.2	NCU00163.3	NCU00163.4	NCU00163.5
NCU00164	NCU00164.1	NCU00164.2	NCU00164.3	NCU00164.4	NCU00164.5
NCU00166	NCU00166.1	NCU00166.2	NCU00166.3	NCU00166.4	NCU00166.5
NCU00167	NCU00167.1	NCU00167.2	NCU00167.3	NCU00167.4	NCU00167.5
NCU00168	NCU00168.1	NCU00168.2	NCU00168.3	NCU00168.4	NCU00168.5
NCU00169	NCU00169.1	NCU00169.2	NCU00169.3	NCU00169.4	NCU00169.5
NCU00170	NCU00170.1	NCU00170.2	NCU00170.3	NCU00170.4	NCU00170.5
NCU00171	NCU00171.1	NCU00171.2	NCU00171.3	NCU00171.4	NCU00171.5
NCU00172	NCU00172.1	NCU00172.2	NCU00172.3	NCU00172.4	NCU00172.5
NCU00173	NCU00173.1	NCU00173.2	NCU00173.3	NCU00173.4	NCU00173.5
NCU00175	NCU00175.1	NCU00175.2	NCU00175.3	NCU00175.4	NCU00175.5
NCU00176	NCU00176.1	NCU00176.2	NCU00176.3	NCU00176.4	NCU00176.5
NCU00177	NCU00177.1	NCU00177.2	NCU00177.3	NCU00177.4	NCU00177.5
NCU00178	NCU00178.1	NCU00178.2	NCU00178.3	NCU00178.4	NCU00178.5
NCU00179	NCU00179.1	NCU00179.2	NCU00179.3	NCU00179.4	NCU00179.5
NCU00180	NCU00180.1	NCU00180.2	NCU00180.3	NCU00180.4	NCU00180.5
NCU00181	NCU00181.1	NCU00181.2	NCU00181.3	NCU00181.4	NCU00181.5
NCU00182	NCU00182.1	NCU00182.2	NCU00182.3	NCU00182.4	NCU00182.5
NCU00183	NCU00183.1	NCU00183.2	NCU00183.3	NCU00183.4	NCU00183.5
NCU00184	NCU00184.1	NCU00184.2	NCU00184.3	NCU00184.4	NCU00184.5
NCU00185	NCU00185.1	NCU00185.2	NCU00185.3	NCU00185.4	NCU00185.5
NCU00186	NCU00186.1	NCU00186.2	NCU00186.3	NCU00186.4	NCU00186.5
NCU00187	NCU00187.1	NCU00187.2	NCU00187.3	NCU00187.4	NCU00187.5
NCU00188	NCU00188.1	NCU00188.2	NCU00188.3	NCU00188.4	NCU00188.5
NCU00189	NCU00189.1	NCU00189.2	NCU00189.3	NCU00189.4	NCU00189.5
NCU00192	NCU00192.1	NCU00192.2	NCU00192.3	NCU00192.4	NCU00192.5
NCU00193	NCU00193.1	NCU00193.2	NCU00193.3	NCU00193.4	NCU00193.5
NCU00194	NCU00194.1	NCU00194.2	NCU00194.3	NCU00194.4	NCU00194.5
NCU00195	NCU00195.1	NCU00195.2	NCU00195.3	NCU00195.4	NCU00195.5
NCU00196	NCU00196.1	NCU00196.2	NCU00196.3	NCU00196.4	NCU00196.5
NCU00197	NCU00197.1	NCU00197.2	NCU00197.3	NCU00197.4	NCU00197.5
NCU00198	NCU00198.1	NCU00198.2	NCU00198.3	NCU00198.4	NCU00198.5
NCU00199	NCU00199.1	NCU00199.2	NCU00199.3	NCU00199.4	NCU00199.5
