geneid	funcatid	gotermid	pubmedid
NCU06111	30.01.05	NA	PMID:15486203
NCU06132	20.09.18.07	NA	PMID:15486203
NCU06138	20.09.18.07	NA	PMID:15486203
NCU06159	20.03	NA	PMID:15486203
NCU06159	70.02	NA	PMID:15486203
NCU06167	20.09.18.07	NA	PMID:15486203
NCU06179	30.01.05	NA	PMID:15486203
NCU06189	01.20.19.03	NA	PMID:15486203
NCU06205	41.01	NA	PMID:15486203
NCU06205	43.01.03	NA	PMID:15486203
NCU06210	12.01.01	NA	PMID:15486203
NCU06226	12.01.01	NA	PMID:15486203
NCU06231	20.09.18	NA	PMID:15486203
NCU06240	40.01.03.01	NA	PMID:15486203
NCU06242	70.02	NA	PMID:15486203
NCU06246	10.01.02	NA	PMID:15486203
NCU06249	30.01.05	NA	PMID:15486203
NCU06304	41.01	NA	PMID:15486203
NCU06312	70.02	NA	PMID:15486203
NCU06327	32.07.01	NA	PMID:15486203
NCU06331	43.01.03.09	NA	PMID:15486203
NCU06333	20.03	NA	PMID:15486203
NCU06333	20.09	NA	PMID:15486203
NCU06382	20.03.25	NA	PMID:15486203
NCU06384	20.09.18.07	NA	PMID:15486203
NCU06384	70.02	NA	PMID:15486203
NCU06397	43.01.03.05	NA	PMID:15486203
NCU06430	32.05.05	NA	PMID:15486203
NCU06430	42.27	NA	PMID:15486203
NCU06431	12.01.01	NA	PMID:15486203
NCU06432	12.01.01	NA	PMID:15486203
NCU06449	20.09.18.07	NA	PMID:15486203
NCU06449	70.02	NA	PMID:15486203
NCU06450	12.01.01	NA	PMID:15486203
NCU06459	41.01	NA	PMID:15486203
NCU06469	12.01.01	NA	PMID:15486203
NCU06483	43.01.03.05	NA	PMID:15486203
NCU06519	32.07.05	NA	PMID:15486203
NCU06519	70.02	NA	PMID:15486203
NCU06522	20.09.18.07	NA	PMID:15486203
NCU06522	70.02	NA	PMID:15486203
NCU06526	32.07.01	NA	PMID:15486203
NCU06531	43.01.03	NA	PMID:15486203
NCU06531	70.02	NA	PMID:15486203
NCU06540	10.01.02	NA	PMID:15486203
NCU06542	12.01.01	NA	PMID:15486203
NCU06556	32.07	NA	PMID:15486203
NCU06561	18.02.05	NA	PMID:15486203
NCU06583	43.01.03	NA	PMID:15486203
NCU06593	43.01.03.05	NA	PMID:15486203
NCU06606	02.11	NA	PMID:15486203
NCU06608	41.01	NA	PMID:15486203
NCU06619	70.02	NA	PMID:15486203
NCU06624	20.09.18	NA	PMID:15486203
NCU06624	70.02	NA	PMID:15486203
NCU06694	70.02	NA	PMID:15486203
NCU06695	20.03	NA	PMID:15486203
NCU06710	70.02	NA	PMID:15486203
NCU06714	32.05.01	NA	PMID:15486203
NCU06739	32.05	NA	PMID:15486203
NCU06743	12.01.01	NA	PMID:15486203
NCU06749	12.01.01	NA	PMID:15486203
NCU06787	43.01.03	NA	PMID:15486203
NCU06787	43.01.03.05	NA	PMID:15486203
NCU06788	43.01.03	NA	PMID:15486203
NCU06788	43.01.03.05	NA	PMID:15486203
NCU06811	32.05	NA	PMID:15486203
NCU06821	43.01.03	NA	PMID:15486203
NCU06821	43.01.03.09	NA	PMID:15486203
NCU06842	43.01.03	NA	PMID:15486203
NCU06842	43.01.03.05	NA	PMID:15486203
NCU06843	12.01.01	NA	PMID:15486203
NCU06847	20.03	NA	PMID:15486203
NCU06847	32.05.01	NA	PMID:15486203
NCU06856	14.13.01	NA	PMID:15486203
NCU06860	32.07.05	NA	PMID:15486203
NCU06864	43.01.03	NA	PMID:15486203
NCU06871	43.01.03.09	NA	PMID:15486203
NCU06880	32.07.07	NA	PMID:15486203
NCU06892	12.01.01	NA	PMID:15486203
NCU06918	20.09.18.07	NA	PMID:15486203
NCU06918	70.02	NA	PMID:15486203
NCU06922	70.02	NA	PMID:15486203
NCU06946	20.03.25	NA	PMID:15486203
NCU07014	12.01.01	NA	PMID:15486203
NCU07053	02.11	NA	PMID:15486203
NCU07053	02.45	NA	PMID:15486203
NCU07053	16.13	NA	PMID:15486203
NCU07053	32.05.03	NA	PMID:15486203
NCU07053	32.07.03	NA	PMID:15486203
NCU07055	32.07	NA	PMID:15486203
NCU07057	12.01.01	NA	PMID:15486203
NCU07094	32.07	NA	PMID:15486203
NCU07129	20.09.18.07	NA	PMID:15486203
NCU07129	70.02	NA	PMID:15486203
NCU07167	32.05.03	NA	PMID:15486203
NCU07169	20.03	NA	PMID:15486203
NCU07175	20.03	NA	PMID:15486203
NCU07199	20.03	NA	PMID:15486203
NCU07224	32.07.03	NA	PMID:15486203
NCU07225	32.10.07	NA	PMID:15486203
NCU07231	70.02	NA	PMID:15486203
NCU07262	20.01.01.01.01	NA	PMID:15486203
NCU07262	70.02	NA	PMID:15486203
NCU07267	41.01	NA	PMID:15486203
NCU07276	20.03.25	NA	PMID:15486203
NCU07277	42.27	NA	PMID:15486203
NCU07334	20.09.18.07	NA	PMID:15486203
NCU07334	70.02	NA	PMID:15486203
NCU07351	01.25.01	NA	PMID:15486203
NCU07386	12.01.01	NA	PMID:15486203
NCU07392	16.17.09	NA	PMID:15486203
NCU07395	10.01.02	NA	PMID:15486203
NCU07408	12.01.01	NA	PMID:15486203
NCU07415	14.13.01	NA	PMID:15486203
NCU07430	32.07	NA	PMID:15486203
NCU07430	43.01.03.09	NA	PMID:15486203
NCU07438	43.01.03.05	NA	PMID:15486203
NCU07481	43.01.03.05	NA	PMID:15486203
NCU07492	41.01	NA	PMID:15486203
NCU07517	20.09.18.07	NA	PMID:15486203
NCU07517	70.02	NA	PMID:15486203
NCU07520	01.25.01	NA	PMID:15486203
NCU07530	20.01.01.01.01	NA	PMID:15486203
